id,observation url,image file,scientific name,common name,no. of identification agreements,no. of identification disagreements,help identify?,group,habitat,observed on,location title,location scale,longitude,latitude,Geoprivacy enabled,notes,tags,post to user groups,user name,user,created on,updated on
1455643,http://indiabiodiversity.org/observation/show/1455643,,Papilio polymnestor,,1,0,NO,Arthropods,All,13/08/2006,,Approximate,73.31458,16.98841,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455645,http://indiabiodiversity.org/observation/show/1455645,,Graphium doson,,1,0,NO,Arthropods,All,18/07/2006,,Approximate,73.31472,16.98846,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455648,http://indiabiodiversity.org/observation/show/1455648,,Papilio demoleus,,1,0,NO,Arthropods,All,04/10/2007,,Approximate,73.3147,16.98849,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455649,http://indiabiodiversity.org/observation/show/1455649,,Papilio polytes,,1,0,NO,Arthropods,All,18/02/2006,,Approximate,73.31473,16.9884,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455650,http://indiabiodiversity.org/observation/show/1455650,,Graphium agamemnon,,1,0,NO,Arthropods,All,20/03/2006,,Approximate,73.31454,16.98841,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455673,http://indiabiodiversity.org/observation/show/1455673,,Graphium agamemnon,,1,0,NO,Arthropods,All,26/09/2008,,Approximate,77.62098,12.9558,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455777,http://indiabiodiversity.org/observation/show/1455777,,Papilio machaon,,1,0,NO,Arthropods,All,10/06/2011,,Approximate,76.01834,32.55154,false,,,,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455810,http://indiabiodiversity.org/observation/show/1455810,,Lamproptera curius,,1,0,NO,Arthropods,All,21/07/2012,,Approximate,96.07,27.32,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455952,http://indiabiodiversity.org/observation/show/1455952,,Graphium agamemnon,,1,0,NO,Arthropods,All,27/07/2012,,Approximate,92.33069,24.43202,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455980,http://indiabiodiversity.org/observation/show/1455980,,Papilio polytes,,1,0,NO,Arthropods,All,31/08/2012,,Approximate,92.33069,24.43202,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455987,http://indiabiodiversity.org/observation/show/1455987,,Papilio polytes,,1,0,NO,Arthropods,All,15/07/2012,,Approximate,92.33069,24.43202,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1455991,http://indiabiodiversity.org/observation/show/1455991,,Papilio clytia,,1,0,NO,Arthropods,All,17/06/2012,,Approximate,92.38344,24.60729,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
1456006,http://indiabiodiversity.org/observation/show/1456006,,Graphium sarpedon,,1,0,NO,Arthropods,All,11/06/2012,,Approximate,92.33069,24.43202,false,,,Northeast India Biodiversity,admin,http://indiabiodiversity.org/user/show/1,09/03/2016,09/03/2016
